Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
4,80,0.45,0.02,0.026,0.033,0.225,0.0204,0.1,9,1.5,17.84
4,80,1.5,0.1,0.26,0.033,0.075,0.0204,0.1,9,1.5,24.718
2,40,0.45,0.1,0.026,0.099,0.075,0.0204,0.1,15,0.75,8.204
0.4,8,0.75,0.1,0.026,0.033,0.075,0.0204,0.3,15,0.45,3.857
2,40,0.45,0.06,0.026,0.033,0.075,0.0204,0.3,9,0.75,15.569
4,80,0.75,0.1,0.13,0.165,0.075,0.0204,0.1,9,1.5,26.028
2,40,0.45,0.1,0.078,0.033,0.075,0.0204,0.1,15,0.75,9.374
4,80,0.45,0.06,0.026,0.165,0.075,0.034,0.5,9,1.5,13.485
4,80,0.15,0.02,0.13,0.33,0.075,0.0204,0.1,9,1.5,15.41
1.2,40,0.15,0.1,0.13,0.165,0.075,0.0068,0.3,15,0.45,7.943
1.2,8,0.75,0.1,0.078,0.165,0.075,0.034,0.1,3,0.15,3.501
4,80,1.5,0.2,0.026,0.099,0.075,0.034,0.1,9,1.5,29.309
2,40,0.75,0.02,0.078,0.165,0.075,0.0204,0.5,15,0.75,6.178
2,40,0.45,0.1,0.026,0.165,0.075,0.0204,0.1,15,0.75,7.111
2,40,0.15,0.06,0.13,0.165,0.075,0.0204,0.3,9,0.75,11.686
2,80,1.5,0.1,0.026,0.033,0.075,0.0068,0.1,9,1.5,21.826
2,80,0.15,0.02,0.026,0.033,0.075,0.0068,0.1,9,1.5,10.398
2,40,0.15,0.02,0.026,0.033,0.075,0.0204,0.1,9,0.75,11.268
4,80,0.75,0.1,0.026,0.33,0.225,0.034,0.1,9,1.5,23.984
1.2,40,0.15,0.06,0.026,0.165,0.075,0.034,0.1,15,0.45,6.407
4,80,0.15,0.1,0.078,0.165,0.075,0.0068,0.1,9,1.5,19.736
2,40,0.45,0.02,0.026,0.099,0.075,0.034,0.3,15,0.75,12.07
4,80,0.75,0.06,0.026,0.099,0.075,0.0204,0.1,9,1.5,23.039
0.4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,1.5,0.00001
0.4,40,0.15,0.02,0.078,0.033,0.225,0.034,0.5,3,0.75,6.077
4,80,0.45,0.06,0.026,0.099,0.225,0.0068,0.3,9,1.5,20.439
4,80,1.5,0.02,0.13,0.099,0.075,0.0068,0.1,9,1.5,22.71
1.2,24,0.45,0.06,0.026,0.033,0.075,0.034,0.3,9,0.45,2.677
4,80,1.5,0.2,0.26,0.099,0.075,0.0204,0.1,9,1.5,21.296
4,80,0.45,0.02,0.078,0.033,0.225,0.0204,0.1,9,1.5,19.685
2,40,0.15,0.1,0.13,0.033,0.075,0.0068,0.1,15,0.75,8.009
2,40,0.45,0.06,0.026,0.099,0.075,0.0068,0.1,15,0.75,10.066
4,80,1.5,0.1,0.26,0.099,0.225,0.034,0.1,9,1.5,19.876
2,40,0.45,0.06,0.078,0.099,0.075,0.0204,0.1,15,0.75,7.83
1.2,8,0.15,0.02,0.026,0.033,0.075,0.0204,0.3,3,0.75,5.005
4,80,0.15,0.06,0.078,0.165,0.075,0.0068,1,9,1.5,1.522
2,24,0.45,0.02,0.026,0.033,0.225,0.0068,0.1,3,0.45,4.18
4,80,0.75,0.1,0.078,0.33,0.075,0.0204,0.1,9,1.5,27.385
2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.1,15,0.45,9.809
4,80,1.5,0.2,0.026,0.33,0.75,0.068,1,30,1.5,1.503
0.4,40,0.45,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,7.546
2,40,0.15,0.06,0.13,0.033,0.075,0.0068,0.3,9,0.75,11.168
2,40,0.45,0.06,0.13,0.033,0.075,0.0204,0.3,9,0.75,11.413
2,40,0.15,0.02,0.026,0.165,0.225,0.034,0.3,9,0.75,12.743
0.4,40,0.15,0.1,0.026,0.165,0.075,0.0204,0.1,15,0.45,5.861
2,80,1.5,0.06,0.078,0.165,0.075,0.0068,0.1,9,1.5,20.268
2,8,0.45,0.06,0.026,0.099,0.075,0.0204,0.5,9,0.15,0.587
2,40,0.15,0.06,0.026,0.033,0.075,0.0204,0.5,9,0.75,11.278
4,80,0.45,0.02,0.078,0.033,0.075,0.034,0.5,9,1.5,16.533
2,40,0.45,0.1,0.13,0.033,0.075,0.0204,0.1,15,0.75,6.157
1.2,8,0.15,0.1,0.026,0.033,0.075,0.034,0.1,3,0.75,4.774
2,40,0.45,0.1,0.078,0.099,0.075,0.0068,0.1,9,0.75,12.671
4,80,0.75,0.06,0.026,0.165,0.225,0.0068,0.1,9,1.5,22.518
1.2,40,0.15,0.06,0.026,0.165,0.075,0.0204,0.1,15,0.45,8.124
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,30,0.15,0.00001
0.4,8,0.15,0.02,0.026,0.033,0.075,0.068,0.1,3,0.15,5.925
2,40,0.75,0.06,0.026,0.033,0.075,0.034,0.1,15,0.75,2.48
4,80,0.45,0.06,0.13,0.33,0.075,0.034,0.1,9,1.5,22.637
2,40,0.15,0.1,0.026,0.033,0.225,0.034,0.1,15,0.75,7.115
2,40,0.15,0.06,0.078,0.033,0.075,0.0068,0.3,15,0.75,11.695
2,40,0.15,0.1,0.026,0.033,0.075,0.0204,0.1,9,0.75,10.541
4,80,0.75,0.06,0.026,0.165,0.375,0.0204,0.1,9,1.5,23.597
4,80,0.75,0.02,0.078,0.099,0.225,0.0068,0.1,9,1.5,24.951
4,80,0.45,0.2,0.078,0.099,0.075,0.0204,0.5,9,1.5,18.186
0.4,8,0.15,0.02,0.026,0.033,0.075,0.0068,1,3,0.15,5.111
4,80,1.5,0.2,0.026,0.33,0.075,0.0068,0.1,9,1.5,28.709
2,8,0.15,0.1,0.026,0.165,0.225,0.034,0.5,9,0.45,3.714
4,80,1.5,0.06,0.078,0.165,0.075,0.068,0.1,9,1.5,25.664
0.4,40,0.45,0.1,0.13,0.033,0.075,0.0204,0.3,15,0.45,6.46
4,80,1.5,0.02,0.026,0.033,0.225,0.034,0.1,9,1.5,27.133
0.4,40,0.75,0.02,0.026,0.099,0.375,0.0068,0.3,9,0.45,5.313
