Mg-glutamate (mM),K-glutamate (mM),Amino Acid (mM),tRNA (mg/ml),coA (mM),NAD (mM),cAMP (mM),Folinic Acid (mM),Spermidine (mM),3-PGA (mM),NTP (mM),Yield
1.2,40,0.15,0.06,0.026,0.033,0.075,0.0068,0.3,15,0.75,12.57
4,80,0.15,0.1,0.13,0.165,0.075,0.068,1,9,1.5,2.494
2,40,0.45,0.06,0.026,0.165,0.075,0.0204,0.1,15,0.75,6.415
4,80,1.5,0.06,0.078,0.165,0.075,0.0204,0.1,9,1.5,29.744
4,80,0.75,0.1,0.026,0.099,0.075,0.0204,0.3,9,1.5,22.537
4,80,0.15,0.06,0.078,0.165,0.075,0.068,0.1,9,1.5,21.504
4,80,1.5,0.2,0.26,0.33,0.75,0.0068,1,30,1.5,2.159
1.2,8,0.15,0.1,0.026,0.033,0.225,0.0204,0.5,3,0.45,5.339
4,80,1.5,0.2,0.026,0.165,0.225,0.0204,0.1,9,1.5,26.728
4,80,1.5,0.2,0.26,0.033,0.75,0.068,1,30,1.5,3.075
2,40,0.15,0.02,0.026,0.033,0.075,0.0068,0.3,15,0.75,12.78
2,40,0.15,0.1,0.026,0.099,0.075,0.0068,0.5,15,0.45,10.119
4,80,1.5,0.06,0.026,0.165,0.225,0.034,0.3,9,1.5,19.396
1.2,40,0.45,0.1,0.026,0.033,0.075,0.034,0.1,15,0.75,9.638
4,80,0.15,0.06,0.078,0.099,0.225,0.068,0.3,9,1.5,16.318
2,40,0.15,0.1,0.078,0.033,0.075,0.034,0.1,9,0.75,10.293
1.2,40,0.45,0.1,0.078,0.165,0.075,0.0204,0.3,15,0.75,11.865
4,80,0.15,0.1,0.026,0.033,0.225,0.0204,0.5,9,1.5,14.396
2,40,0.45,0.02,0.13,0.165,0.225,0.0068,0.3,9,0.75,10.073
1.2,40,0.75,0.1,0.026,0.033,0.225,0.0204,0.5,15,0.45,8.109
2,40,0.45,0.06,0.13,0.033,0.075,0.034,0.1,15,0.75,5.884
1.2,8,0.45,0.02,0.026,0.033,0.375,0.0068,0.5,15,0.15,3.686
4,80,0.45,0.06,0.026,0.33,0.075,0.0068,0.5,9,1.5,17.376
4,80,1.5,0.02,0.026,0.33,0.075,0.0204,0.1,9,1.5,21.941
4,80,0.45,0.1,0.026,0.033,0.075,0.0204,0.1,9,1.5,21.444
4,80,0.15,0.06,0.026,0.33,0.075,0.034,1,9,1.5,0.801
2,40,0.15,0.06,0.026,0.099,0.075,0.0204,0.1,3,0.75,9.347
4,80,1.5,0.2,0.026,0.165,0.225,0.034,0.1,9,1.5,22.128
2,24,0.75,0.06,0.026,0.033,0.075,0.0204,0.1,15,0.75,3.126
4,80,1.5,0.2,0.26,0.33,0.75,0.068,1,15,1.5,0.581
2,40,0.45,0.1,0.026,0.033,0.225,0.034,0.3,15,0.75,12.172
2,8,0.75,0.02,0.026,0.033,0.075,0.0204,0.5,3,0.75,3.417
1.2,40,0.75,0.02,0.026,0.033,0.375,0.0204,0.5,3,0.75,6.337
4,80,0.45,0.02,0.078,0.165,0.075,0.0068,0.1,9,1.5,22.771
4,80,0.15,0.1,0.026,0.099,0.075,0.0204,0.1,9,1.5,16.817
2,24,0.15,0.1,0.026,0.033,0.075,0.034,0.3,3,0.75,7.496
0.4,8,0.45,0.02,0.026,0.033,0.075,0.034,0.3,3,0.75,4.817
2,40,0.45,0.06,0.078,0.165,0.075,0.0068,0.3,15,0.75,11.061
4,80,1.5,0.2,0.078,0.165,0.075,0.0204,0.1,9,1.5,28.614
2,40,0.15,0.06,0.078,0.033,0.075,0.0204,0.5,3,0.75,9.501
4,80,1.5,0.06,0.078,0.165,0.075,0.0068,0.1,9,1.5,29.03
4,80,1.5,0.1,0.026,0.033,0.075,0.034,0.3,9,1.5,19.205
1.2,40,0.15,0.02,0.026,0.033,0.075,0.034,0.1,9,0.75,10.372
4,80,0.45,0.06,0.026,0.165,0.075,0.034,0.1,9,1.5,21.258
4,80,0.15,0.02,0.078,0.165,0.075,0.0068,0.5,9,1.5,13.485
0.4,24,0.45,0.06,0.026,0.033,0.075,0.034,0.1,3,0.75,5.909
4,80,0.75,0.2,0.078,0.165,0.375,0.0204,0.1,9,1.5,22.072
2,40,0.45,0.02,0.078,0.033,0.075,0.0068,0.1,15,0.75,11.127
2,40,0.15,0.02,0.13,0.165,0.225,0.034,0.3,9,0.75,14.462
4,80,0.75,0.02,0.13,0.33,0.075,0.068,0.1,9,1.5,23.179
4,80,0.15,0.02,0.026,0.33,0.075,0.034,0.1,9,1.5,20.87
4,80,1.5,0.1,0.13,0.165,0.075,0.0068,0.3,9,1.5,21.862
1.2,40,0.15,0.02,0.026,0.099,0.075,0.0068,0.3,15,0.75,12.295
0.4,40,0.15,0.06,0.026,0.033,0.075,0.034,0.1,9,0.75,7.758
2,40,0.15,0.1,0.078,0.033,0.225,0.0204,0.1,9,0.45,2.605
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
